,id,position,firstName,lastName,Expected Shots
45,8482061,L,Brandon,Biro,0.12462561733671351
30,8477887,C,Patrick,Brown,0.12211131008761596
150,8482078,L,Lucas,Raymond,0.11357602323401468
223,8480018,C,Nick,Suzuki,0.1106221593108047
289,8480448,L,Parker,Kelly,0.09265772017078222
89,8482652,R,Walker,Duehr,0.09015444428876081
181,8479994,C,Jaret,Anderson-Dolan,0.0884038063032846
97,8480008,C,Adam,Ruzicka,0.07199193942670523
19,8478474,L,Lawson,Crouse,0.07029136931465378
26,8477482,L,Zach,Sanford,0.055594762472041204
127,8473994,L,Jamie,Benn,0.053501896848807316
148,8474102,L,David,Perron,0.05284172505968218
291,8479772,R,Zack,MacEwen,0.04207389388077478
310,8470604,C,Jeff,Carter,0.017095686787581207
192,8481732,L,Andre,Lee,0.0
207,8477464,C,Nic,Petan,0.0
443,8474157,L,Max,Pacioretty,0.0
237,8476919,C,Chris,Tierney,-0.00684506798022573
444,8479547,R,Matthew,Phillips,-0.03002807077396126
8,8476934,L,Brock,McGinn,-0.05223768161632016
